Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP002139,Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,,Semiurban
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban
LP002877,Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban
LP001732,Male,Yes,2,Graduate,,5000,0.0,72.0,360.0,0.0,Semiurban
LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban
LP002054,Male,Yes,2,Not Graduate,No,3601,1590.0,,360.0,1.0,Rural
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban
LP002178,Male,Yes,0,Graduate,No,3013,3033.0,95.0,300.0,,Urban
LP001699,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban
LP002401,Male,Yes,0,Graduate,No,2213,1125.0,,360.0,1.0,Urban
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban
LP001760,Male,,,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban
LP002634,Female,No,1,Graduate,No,13262,0.0,40.0,360.0,1.0,Urban
LP001666,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural
LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural
LP001702,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban
LP002144,Female,No,,Graduate,No,3813,0.0,116.0,180.0,1.0,Urban
LP002979,Male,Yes,3+,Graduate,No,4106,0.0,40.0,180.0,1.0,Rural
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban
